bigLoop.thisRepN,bigLoop.thisTrialN,bigLoop.thisN,bigLoop.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,date,frameRate,expName,participant,
0,0,0,0,-0.116666666667,0.198148148148,1,0,0,1.27315676899,2017_mar_15_1724,59.9505645834,expDell,,
1,0,1,0,-0.116666666667,0.198148148148,1,0,0,0.216624253779,2017_mar_15_1724,59.9505645834,expDell,,
2,0,2,0,-0.116666666667,0.198148148148,1,0,0,0.216274120146,2017_mar_15_1724,59.9505645834,expDell,,
3,0,3,0,-0.116666666667,0.198148148148,1,0,0,0.199929855997,2017_mar_15_1724,59.9505645834,expDell,,
