bigLoop.thisRepN,bigLoop.thisTrialN,bigLoop.thisN,bigLoop.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,date,frameRate,expName,participant,
0,0,0,0,-0.148958333333,0.318518518519,1,0,0,0.390623689513,2017_mar_15_1727,59.9139098913,expDell,,
1,0,1,0,-0.1875,-0.0296296296296,1,0,0,0.19989232067,2017_mar_15_1727,59.9139098913,expDell,,
2,0,2,0,-0.1875,-0.0296296296296,1,0,0,0.183163906564,2017_mar_15_1727,59.9139098913,expDell,,
3,0,3,0,-0.1875,-0.0296296296296,1,0,0,0.233426858671,2017_mar_15_1727,59.9139098913,expDell,,
