bigLoop.thisRepN,bigLoop.thisTrialN,bigLoop.thisN,bigLoop.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,date,frameRate,expName,participant,
0,0,0,0,-0.182291666667,0.148148148148,1,0,0,1.03461983521,2017_mar_15_1722,59.9916964574,expDell,,
1,0,1,0,-0.182291666667,0.148148148148,1,0,0,0.833215546911,2017_mar_15_1722,59.9916964574,expDell,,
2,0,2,0,-0.182291666667,0.148148148148,1,0,0,0.316337578115,2017_mar_15_1722,59.9916964574,expDell,,
3,0,3,0,-0.182291666667,0.148148148148,1,0,0,0.233354427386,2017_mar_15_1722,59.9916964574,expDell,,
4,0,4,0,-0.182291666667,0.148148148148,1,0,0,0.233420700533,2017_mar_15_1722,59.9916964574,expDell,,
