bigLoop.thisRepN,bigLoop.thisTrialN,bigLoop.thisN,bigLoop.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,date,frameRate,expName,participant,
0,0,0,0,-0.090625,0.422222222222,1,0,0,1.77339869551,2017_mar_15_1724,60.159336964,expDell,,
1,0,1,0,-0.090625,0.422222222222,1,0,0,0.23348198866,2017_mar_15_1724,60.159336964,expDell,,
2,0,2,0,-0.090625,0.42037037037,1,0,0,0.233196075424,2017_mar_15_1724,60.159336964,expDell,,
3,0,3,0,-0.090625,0.42037037037,1,0,0,0.216651525465,2017_mar_15_1724,60.159336964,expDell,,
