bigLoop.thisRepN,bigLoop.thisTrialN,bigLoop.thisN,bigLoop.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,date,frameRate,expName,participant,
0,0,0,0,-0.0427083333333,-0.142592592593,1,0,0,6.77287613414,2017_mar_15_1725,59.9237011445,expDell,,
1,0,1,0,-0.0427083333333,-0.142592592593,1,0,0,1.36671988072,2017_mar_15_1725,59.9237011445,expDell,,
2,0,2,0,-0.0427083333333,-0.142592592593,1,0,0,0.315108884475,2017_mar_15_1725,59.9237011445,expDell,,
3,0,3,0,-0.0427083333333,-0.142592592593,1,0,0,0.232894913526,2017_mar_15_1725,59.9237011445,expDell,,
