bigLoop.thisRepN,bigLoop.thisTrialN,bigLoop.thisN,bigLoop.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,date,frameRate,expName,participant,
0,0,0,0,-0.175,0.211111111111,1,0,0,1.20738441928,2017_mar_15_1725,59.9404484249,expDell,,
1,0,1,0,-0.175,0.211111111111,1,0,0,0.199900824809,2017_mar_15_1725,59.9404484249,expDell,,
2,0,2,0,-0.175,0.211111111111,1,0,0,0.249927715282,2017_mar_15_1725,59.9404484249,expDell,,
3,0,3,0,-0.175,0.211111111111,1,0,0,0.216341272928,2017_mar_15_1725,59.9404484249,expDell,,
