bigLoop.thisRepN,bigLoop.thisTrialN,bigLoop.thisN,bigLoop.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,date,frameRate,expName,participant,
0,0,0,0,0.208333333333,0.0648148148148,1,0,0,2.47322914167,2017_mar_15_1726,59.9214899312,expDell,,
1,0,1,0,-0.153125,0.224074074074,1,0,0,0.249705729308,2017_mar_15_1726,59.9214899312,expDell,,
2,0,2,0,0.184375,0.246296296296,1,0,0,0.233284635236,2017_mar_15_1726,59.9214899312,expDell,,
3,0,3,0,0.184375,0.246296296296,1,0,0,0.216723956866,2017_mar_15_1726,59.9214899312,expDell,,
