bigLoop.thisRepN,bigLoop.thisTrialN,bigLoop.thisN,bigLoop.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,date,frameRate,expName,participant,
0,0,0,0,-0.0927083333333,0.259259259259,1,0,0,1.93994151533,2017_mar_15_1724,60.1106629777,expDell,,
1,0,1,0,-0.0927083333333,0.259259259259,1,0,0,0.199852732709,2017_mar_15_1724,60.1106629777,expDell,,
2,0,2,0,-0.0927083333333,0.259259259259,1,0,0,0.199955368182,2017_mar_15_1724,60.1106629777,expDell,,
3,0,3,0,-0.0927083333333,0.259259259259,1,0,0,0.199912261334,2017_mar_15_1724,60.1106629777,expDell,,
